county_fips_code,county_name,state,state_fips_code,date,confirmed_cases,deaths
0,Statewide Unallocated,AL,1,5/1/2020,0,0
0,Statewide Unallocated,AL,1,5/2/2020,0,0
0,Statewide Unallocated,AL,1,5/3/2020,0,0
0,Statewide Unallocated,AL,1,5/4/2020,0,0
0,Statewide Unallocated,AL,1,5/5/2020,0,0
0,Statewide Unallocated,AL,1,5/6/2020,0,0
0,Statewide Unallocated,AL,1,5/7/2020,0,0
1001,Autauga County,AL,1,5/1/2020,42,3
1001,Autauga County,AL,1,5/2/2020,45,3
1001,Autauga County,AL,1,5/3/2020,48,3
1001,Autauga County,AL,1,5/4/2020,53,3
1001,Autauga County,AL,1,5/5/2020,53,3
1001,Autauga County,AL,1,5/6/2020,58,3
1001,Autauga County,AL,1,5/7/2020,61,3
1003,Baldwin County,AL,1,5/1/2020,175,4
1003,Baldwin County,AL,1,5/2/2020,181,4
1003,Baldwin County,AL,1,5/3/2020,187,4
1003,Baldwin County,AL,1,5/4/2020,188,4
1003,Baldwin County,AL,1,5/5/2020,189,5
1003,Baldwin County,AL,1,5/6/2020,196,5
1003,Baldwin County,AL,1,5/7/2020,205,5
1005,Barbour County,AL,1,5/1/2020,42,1
1005,Barbour County,AL,1,5/2/2020,43,1
1005,Barbour County,AL,1,5/3/2020,45,1
1005,Barbour County,AL,1,5/4/2020,45,1
1005,Barbour County,AL,1,5/5/2020,47,1
1005,Barbour County,AL,1,5/6/2020,47,1
1005,Barbour County,AL,1,5/7/2020,51,1
1007,Bibb County,AL,1,5/1/2020,42,0
1007,Bibb County,AL,1,5/2/2020,42,0
1007,Bibb County,AL,1,5/3/2020,42,0
1007,Bibb County,AL,1,5/4/2020,42,0
1007,Bibb County,AL,1,5/5/2020,43,0
1007,Bibb County,AL,1,5/6/2020,43,0
1007,Bibb County,AL,1,5/7/2020,44,0
1009,Blount County,AL,1,5/1/2020,39,0
1009,Blount County,AL,1,5/2/2020,40,0
1009,Blount County,AL,1,5/3/2020,40,0
1009,Blount County,AL,1,5/4/2020,40,0
1009,Blount County,AL,1,5/5/2020,40,0
1009,Blount County,AL,1,5/6/2020,42,0
1009,Blount County,AL,1,5/7/2020,44,0
1011,Bullock County,AL,1,5/1/2020,14,0
1011,Bullock County,AL,1,5/2/2020,14,0
1011,Bullock County,AL,1,5/3/2020,14,0
1011,Bullock County,AL,1,5/4/2020,16,0
1011,Bullock County,AL,1,5/5/2020,18,0
1011,Bullock County,AL,1,5/6/2020,18,1
1011,Bullock County,AL,1,5/7/2020,18,1
1013,Butler County,AL,1,5/1/2020,65,1
1013,Butler County,AL,1,5/2/2020,92,1
1013,Butler County,AL,1,5/3/2020,105,1
1013,Butler County,AL,1,5/4/2020,114,1
1013,Butler County,AL,1,5/5/2020,120,2
1013,Butler County,AL,1,5/6/2020,130,2
1013,Butler County,AL,1,5/7/2020,155,2
1015,Calhoun County,AL,1,5/1/2020,93,3
1015,Calhoun County,AL,1,5/2/2020,98,3
1015,Calhoun County,AL,1,5/3/2020,105,3
1015,Calhoun County,AL,1,5/4/2020,105,3
1015,Calhoun County,AL,1,5/5/2020,114,3
1015,Calhoun County,AL,1,5/6/2020,114,3
1015,Calhoun County,AL,1,5/7/2020,120,3
1017,Chambers County,AL,1,5/1/2020,290,21
1017,Chambers County,AL,1,5/2/2020,294,21
1017,Chambers County,AL,1,5/3/2020,300,21
1017,Chambers County,AL,1,5/4/2020,302,21
1017,Chambers County,AL,1,5/5/2020,304,21
1017,Chambers County,AL,1,5/6/2020,306,21
1017,Chambers County,AL,1,5/7/2020,308,21
1019,Cherokee County,AL,1,5/1/2020,15,0
1019,Cherokee County,AL,1,5/2/2020,15,0
1019,Cherokee County,AL,1,5/3/2020,16,0
1019,Cherokee County,AL,1,5/4/2020,16,0
1019,Cherokee County,AL,1,5/5/2020,17,0
1019,Cherokee County,AL,1,5/6/2020,18,0
1019,Cherokee County,AL,1,5/7/2020,18,0
1021,Chilton County,AL,1,5/1/2020,52,1
1021,Chilton County,AL,1,5/2/2020,54,1
1021,Chilton County,AL,1,5/3/2020,57,1
1021,Chilton County,AL,1,5/4/2020,58,1
1021,Chilton County,AL,1,5/5/2020,60,1
1021,Chilton County,AL,1,5/6/2020,61,1
1021,Chilton County,AL,1,5/7/2020,63,1
1023,Choctaw County,AL,1,5/1/2020,49,0
1023,Choctaw County,AL,1,5/2/2020,49,0
1023,Choctaw County,AL,1,5/3/2020,49,0
1023,Choctaw County,AL,1,5/4/2020,51,0
1023,Choctaw County,AL,1,5/5/2020,54,0
1023,Choctaw County,AL,1,5/6/2020,54,0
1023,Choctaw County,AL,1,5/7/2020,56,0
1025,Clarke County,AL,1,5/1/2020,34,1
1025,Clarke County,AL,1,5/2/2020,38,1
1025,Clarke County,AL,1,5/3/2020,42,1
1025,Clarke County,AL,1,5/4/2020,43,1
1025,Clarke County,AL,1,5/5/2020,43,1
1025,Clarke County,AL,1,5/6/2020,45,1
1025,Clarke County,AL,1,5/7/2020,50,1
1027,Clay County,AL,1,5/1/2020,21,1
1027,Clay County,AL,1,5/2/2020,21,1
1027,Clay County,AL,1,5/3/2020,22,1
1027,Clay County,AL,1,5/4/2020,22,1
1027,Clay County,AL,1,5/5/2020,24,1
1027,Clay County,AL,1,5/6/2020,25,1
1027,Clay County,AL,1,5/7/2020,25,1
1029,Cleburne County,AL,1,5/1/2020,12,1
1029,Cleburne County,AL,1,5/2/2020,12,1
1029,Cleburne County,AL,1,5/3/2020,12,1
1029,Cleburne County,AL,1,5/4/2020,12,1
1029,Cleburne County,AL,1,5/5/2020,13,1
1029,Cleburne County,AL,1,5/6/2020,13,1
1029,Cleburne County,AL,1,5/7/2020,13,1
1031,Coffee County,AL,1,5/1/2020,117,0
1031,Coffee County,AL,1,5/2/2020,118,0
1031,Coffee County,AL,1,5/3/2020,130,0
1031,Coffee County,AL,1,5/4/2020,134,0
1031,Coffee County,AL,1,5/5/2020,134,0
1031,Coffee County,AL,1,5/6/2020,138,0
1031,Coffee County,AL,1,5/7/2020,141,0
1033,Colbert County,AL,1,5/1/2020,33,2
1033,Colbert County,AL,1,5/2/2020,37,2
1033,Colbert County,AL,1,5/3/2020,41,2
1033,Colbert County,AL,1,5/4/2020,41,2
1033,Colbert County,AL,1,5/5/2020,42,2
1033,Colbert County,AL,1,5/6/2020,44,2
1033,Colbert County,AL,1,5/7/2020,51,2
1035,Conecuh County,AL,1,5/1/2020,9,0
1035,Conecuh County,AL,1,5/2/2020,9,0
1035,Conecuh County,AL,1,5/3/2020,9,0
1035,Conecuh County,AL,1,5/4/2020,9,0
1035,Conecuh County,AL,1,5/5/2020,9,0
1035,Conecuh County,AL,1,5/6/2020,9,0
1035,Conecuh County,AL,1,5/7/2020,12,0
1037,Coosa County,AL,1,5/1/2020,29,1
1037,Coosa County,AL,1,5/2/2020,30,1
1037,Coosa County,AL,1,5/3/2020,30,1
1037,Coosa County,AL,1,5/4/2020,30,1
1037,Coosa County,AL,1,5/5/2020,31,1
1037,Coosa County,AL,1,5/6/2020,31,1
1037,Coosa County,AL,1,5/7/2020,31,1
1039,Covington County,AL,1,5/1/2020,38,1
1039,Covington County,AL,1,5/2/2020,43,1
1039,Covington County,AL,1,5/3/2020,45,1
1039,Covington County,AL,1,5/4/2020,45,1
1039,Covington County,AL,1,5/5/2020,46,1
1039,Covington County,AL,1,5/6/2020,46,1
1039,Covington County,AL,1,5/7/2020,48,1
1041,Crenshaw County,AL,1,5/1/2020,19,0
1041,Crenshaw County,AL,1,5/2/2020,21,0
1041,Crenshaw County,AL,1,5/3/2020,23,0
1041,Crenshaw County,AL,1,5/4/2020,25,0
1041,Crenshaw County,AL,1,5/5/2020,26,0
1041,Crenshaw County,AL,1,5/6/2020,28,0
1041,Crenshaw County,AL,1,5/7/2020,31,0
1043,Cullman County,AL,1,5/1/2020,57,0
1043,Cullman County,AL,1,5/2/2020,57,0
1043,Cullman County,AL,1,5/3/2020,58,0
1043,Cullman County,AL,1,5/4/2020,58,0
1043,Cullman County,AL,1,5/5/2020,58,0
1043,Cullman County,AL,1,5/6/2020,59,0
1043,Cullman County,AL,1,5/7/2020,61,0
1045,Dale County,AL,1,5/1/2020,27,0
1045,Dale County,AL,1,5/2/2020,28,0
1045,Dale County,AL,1,5/3/2020,34,0
1045,Dale County,AL,1,5/4/2020,34,0
1045,Dale County,AL,1,5/5/2020,34,0
1045,Dale County,AL,1,5/6/2020,34,0
1045,Dale County,AL,1,5/7/2020,36,0
1047,Dallas County,AL,1,5/1/2020,42,3
1047,Dallas County,AL,1,5/2/2020,49,3
1047,Dallas County,AL,1,5/3/2020,59,3
1047,Dallas County,AL,1,5/4/2020,65,3
1047,Dallas County,AL,1,5/5/2020,68,3
1047,Dallas County,AL,1,5/6/2020,76,3
1047,Dallas County,AL,1,5/7/2020,83,3
1049,DeKalb County,AL,1,5/1/2020,76,2
1049,DeKalb County,AL,1,5/2/2020,77,2
1049,DeKalb County,AL,1,5/3/2020,79,2
1049,DeKalb County,AL,1,5/4/2020,90,2
1049,DeKalb County,AL,1,5/5/2020,99,2
1049,DeKalb County,AL,1,5/6/2020,109,2
1049,DeKalb County,AL,1,5/7/2020,124,2
1051,Elmore County,AL,1,5/1/2020,88,2
1051,Elmore County,AL,1,5/2/2020,93,2
1051,Elmore County,AL,1,5/3/2020,103,2
1051,Elmore County,AL,1,5/4/2020,111,3
1051,Elmore County,AL,1,5/5/2020,121,3
1051,Elmore County,AL,1,5/6/2020,121,3
1051,Elmore County,AL,1,5/7/2020,127,4
1053,Escambia County,AL,1,5/1/2020,29,2
1053,Escambia County,AL,1,5/2/2020,30,2
